rank	candidate	layer	stage	candidate_full_shape	reference_full_shape	candidate_dtype	reference_dtype	exact	different_elements	elements	reference_norm	difference_norm	zero_reference_status	rel_l2	max_abs	candidate_nonfinite	reference_nonfinite
0	diagnostic-B2	6	ffn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4616	5120	12.12454605102539	0.21962273120880127	not_zero	0.018113893112742762	0.015625	0	0
0	diagnostic-B2	7	layer_entry	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4616	5120	12.12454605102539	0.21962273120880127	not_zero	0.018113893112742762	0.015625	0	0
0	diagnostic-B2	7	attn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4391	5120	32.34659957885742	0.43422970175743103	not_zero	0.013424276660018844	0.03125	0	0
0	diagnostic-B2	7	attn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4445	5120	1.6963090896606445	0.020942814648151398	not_zero	0.012346107661511804	0.00146484375	0	0
0	diagnostic-B2	7	attn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4445	5120	1.6963090896606445	0.020942814648151398	not_zero	0.012346107661511804	0.00146484375	0	0
0	diagnostic-B2	7	attn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4387	5120	26.391679763793945	0.3784204125404358	not_zero	0.01433862550346571	0.01953125	0	0
0	diagnostic-B2	7	ffn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4431	5120	27.094926834106445	0.31692394614219666	not_zero	0.01169680021956215	0.0234375	0	0
0	diagnostic-B2	7	ffn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4444	5120	16.908466339111328	0.1996847242116928	not_zero	0.011809747862808698	0.01171875	0	0
0	diagnostic-B2	7	ffn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4444	5120	16.908466339111328	0.1996847242116928	not_zero	0.011809747862808698	0.01171875	0	0
0	diagnostic-B2	7	ffn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4569	5120	13.419835090637207	0.23678633570671082	not_zero	0.017644504131940686	0.0126953125	0	0
0	diagnostic-B2	8	layer_entry	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4569	5120	13.419835090637207	0.23678633570671082	not_zero	0.017644504131940686	0.0126953125	0	0
0	diagnostic-B2	8	attn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4415	5120	39.79330062866211	0.478594571352005	not_zero	0.01202701368800972	0.03125	0	0
0	diagnostic-B2	8	attn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4362	5120	3.7556095123291016	0.04689573124051094	not_zero	0.012486849627619513	0.03125	0	0
0	diagnostic-B2	8	attn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4362	5120	3.7556095123291016	0.04689573124051094	not_zero	0.012486849627619513	0.03125	0	0
0	diagnostic-B2	8	attn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4091	5120	49.9599494934082	0.4949744641780853	not_zero	0.009907425231552587	0.03125	0	0
0	diagnostic-B2	8	ffn_norm_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4398	5120	31.450969696044922	0.3637100160121918	not_zero	0.011564349828550109	0.0234375	0	0
0	diagnostic-B2	8	ffn_norm_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4326	5120	15.656110763549805	0.17635424435138702	not_zero	0.011264243528601682	0.009765625	0	0
0	diagnostic-B2	8	ffn_in	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4326	5120	15.656110763549805	0.17635424435138702	not_zero	0.011264243528601682	0.009765625	0	0
0	diagnostic-B2	8	ffn_out	2x5120	1x5120	torch.bfloat16	torch.bfloat16	false	4703	5120	10.29256820678711	0.21647696197032928	not_zero	0.02103235631973567	0.013671875	0	0
